# core only; prefill excluded; four operation classes; deterministic rotating cancels; up to 2001 levels
# ordinary/array/aligned allocations counted only inside apply; latency instrumentation separate from throughput
kind,depth,repetition,operation,samples,mean_ns,p50_ns,p99_ns,p999_ns,allocations,hash
throughput,1000,1,mixed,100000,98.079,0,0,0,80000,9181338430740423084
throughput,1000,2,mixed,100000,79.047,0,0,0,80000,9181338430740423084
throughput,1000,3,mixed,100000,72.729,0,0,0,80000,9181338430740423084
latency,1000,0,cancel,20000,0,100,300,500,0,9181338430740423084
latency,1000,0,insert,40000,0,100,300,500,0,9181338430740423084
latency,1000,0,partial_fill,20000,0,0,100,300,0,9181338430740423084
latency,1000,0,full_fill,20000,0,100,200,300,0,9181338430740423084
lookup,1000,0,find,1000000,11.5297,0,0,0,0,10000000
throughput,10000,1,mixed,100000,77.922,0,0,0,60000,8914989010062093615
throughput,10000,2,mixed,100000,71.006,0,0,0,60000,8914989010062093615
throughput,10000,3,mixed,100000,74.686,0,0,0,60000,8914989010062093615
latency,10000,0,cancel,20000,0,100,400,600,0,8914989010062093615
latency,10000,0,insert,40000,0,100,300,500,0,8914989010062093615
latency,10000,0,partial_fill,20000,0,0,200,400,0,8914989010062093615
latency,10000,0,full_fill,20000,0,100,200,500,0,8914989010062093615
lookup,10000,0,find,1000000,20.7136,0,0,0,0,10000000
throughput,100000,1,mixed,100000,157.095,0,0,0,60000,13654333483101622432
throughput,100000,2,mixed,100000,176.12,0,0,0,60000,13654333483101622432
throughput,100000,3,mixed,100000,185.571,0,0,0,60000,13654333483101622432
latency,100000,0,cancel,20000,0,200,600,900,0,13654333483101622432
latency,100000,0,insert,40000,0,200,500,700,0,13654333483101622432
latency,100000,0,partial_fill,20000,0,100,500,700,0,13654333483101622432
latency,100000,0,full_fill,20000,0,200,500,700,0,13654333483101622432
lookup,100000,0,find,1000000,113.596,0,0,0,0,10000000
